"Production Type","2017 [MW]","2018 [MW]","2019 [MW]"
"Biomass","720","716","717"
"Fossil Brown coal/Lignite","N/A","N/A","N/A"
"Fossil Coal-derived gas","N/A","N/A","N/A"
"Fossil Gas","5811","6576","6803"
"Fossil Hard coal","470","N/A","N/A"
"Fossil Oil","260","332","334"
"Fossil Oil shale","N/A","N/A","N/A"
"Fossil Peat","N/A","N/A","N/A"
"Geothermal","N/A","N/A","N/A"
"Hydro Pumped Storage","1308","1308","1308"
"Hydro Run-of-river and poundage","178","179","181"
"Hydro Water Reservoir","N/A","N/A","N/A"
"Marine","N/A","N/A","N/A"
"Nuclear","5919","5919","5931"
"Other","N/A","N/A","N/A"
"Other renewable","N/A","N/A","N/A"
"Solar","2953","3369","3369"
"Waste","356","356","362"
"Wind Offshore","877","1178","1178"
"Wind Onshore","1745","1979","1979"
"Total Grand capacity","20597","21912","22162"
